Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption,Month,PowerConsumptionXGB,PowerConsumptionCat
19.07,55.77,0.086,0.048,0.1,27680.60837,12,28199.986,27695.115992137027
18.99,56.7,0.08,0.066,0.093,27011.40684,12,27572.602,27022.25904936892
18.88,58.11,0.078,0.07,0.104,26445.62738,12,27084.273,26406.25356394628
18.78,58.98,0.08,0.04,0.1,25885.93156,12,26409.594,25819.901135095755
18.77,59.98,0.078,0.044,0.093,25277.56654,12,26014.6,25267.28604755967
18.65,60.51,0.08,0.029,0.093,24876.04563,12,25666.318,24862.979866307775
18.71,60.94,0.078,0.073,0.141,24419.77186,12,25041.367,24339.54238621463
18.83,61.58,0.077,0.051,0.082,24225.09506,12,25370.396,24120.42190234716
18.7,63.71,0.081,0.066,0.13,23641.06464,12,24504.727,23635.781126286874
18.53,65.12,0.077,0.07,0.145,23269.96198,12,24145.168,23306.741648341274
18.43,66.19,0.078,0.026,0.159,22917.11027,12,23742.07,22864.783852563283
18.31,66.72,0.078,0.044,0.167,22564.25856,12,23448.549,22499.528828268507
18.38,66.38,0.08,0.059,0.145,22406.08365,12,23322.086,22339.1394719827
18.41,65.31,0.078,0.044,0.185,22369.58175,12,23143.713,22328.12687000203
18.41,64.68,0.081,0.051,0.145,22247.90875,12,23319.498,22224.976644845992
18.27,64.84,0.078,0.048,0.137,22028.89734,12,23052.004,21981.86009691169
18.23,64.52,0.079,0.051,0.119,21882.88973,12,23012.521,21896.795886815195
18.01,65.82,0.083,0.033,0.189,21888.97338,12,22794.57,21873.05347199821
17.83,65.85,0.085,0.022,0.148,21736.88213,12,22873.299,21701.71603941077
17.71,66.45,0.081,0.026,0.122,21742.96578,12,22854.965,21706.795294732197
17.6,68.56,0.079,0.055,0.167,21682.12928,12,22668.387,21703.074029381765
17.41,69.56,0.079,0.033,0.152,21627.37643,12,22462.15,21632.17505272248
17.48,68.66,0.078,0.051,0.208,21542.20532,12,22284.15,21496.749173113014
17.61,66.79,0.079,0.048,0.141,21584.79087,12,22589.521,21515.027758831435
17.85,65.49,0.081,0.051,0.1,21572.62357,12,22693.322,21522.908025630866
18.12,61.45,0.082,0.055,0.156,21499.61977,12,22644.902,21513.839438361745
17.84,64.91,0.078,0.059,0.148,21572.62357,12,22407.812,21511.950698222827
17.7,64.41,0.08,0.062,0.141,21457.03422,12,22475.387,21460.918471942125
17.74,64.18,0.077,0.051,0.122,21420.53232,12,22634.117,21463.657893574364
17.55,65.45,0.076,0.029,0.148,21450.95057,12,22641.365,21463.197696956522
17.5,66.51,0.079,0.044,0.174,21390.11407,12,22176.602,21460.827909052925
17.37,68.52,0.079,0.055,0.152,21292.77567,12,22308.115,21302.487901036126
