iter	Passed	Remaining
0	225	225363
1	260	130037
2	289	96361
3	320	79898
4	346	68939
5	371	61556
6	399	56662
7	424	52670
8	449	49497
9	470	46545
10	489	43980
11	507	41785
12	515	39115
13	549	38678
14	566	37186
15	583	35873
16	600	34721
17	617	33688
18	634	32758
19	651	31911
20	667	31140
21	685	30453
22	702	29828
23	720	29288
24	738	28784
25	755	28288
26	772	27834
27	789	27405
28	806	27006
29	823	26616
30	840	26258
31	857	25942
32	875	25653
33	892	25361
34	910	25091
35	928	24852
36	946	24637
37	964	24407
38	981	24185
39	998	23966
40	1016	23780
41	1033	23572
42	1050	23379
43	1067	23195
44	1084	23022
45	1102	22864
46	1119	22700
47	1136	22543
48	1153	22394
49	1171	22250
50	1188	22116
51	1206	21991
52	1223	21855
53	1239	21722
54	1257	21602
55	1274	21481
56	1291	21365
57	1308	21253
58	1325	21139
59	1342	21031
60	1359	20924
61	1376	20819
62	1393	20726
63	1410	20621
64	1427	20528
65	1444	20438
66	1460	20344
67	1477	20256
68	1495	20181
69	1512	20096
70	1529	20013
71	1546	19933
72	1564	19862
73	1581	19791
74	1598	19714
75	1615	19642
76	1632	19570
77	1649	19493
78	1665	19422
79	1683	19357
80	1700	19293
81	1717	19230
82	1734	19167
83	1752	19107
84	1768	19039
85	1785	18978
86	1803	18929
87	1820	18869
88	1837	18810
89	1854	18752
90	1871	18698
91	1888	18641
92	1906	18592
93	1923	18537
94	1940	18490
95	1957	18436
96	1975	18386
97	1992	18336
98	2010	18296
99	2027	18245
100	2044	18196
101	2061	18146
102	2078	18101
103	2095	18057
104	2113	18011
105	2130	17965
106	2147	17920
107	2164	17873
108	2181	17834
109	2198	17790
110	2215	17745
111	2232	17702
112	2250	17664
113	2268	17634
114	2288	17612
115	2308	17588
116	2326	17554
117	2343	17515
118	2361	17482
119	2379	17447
120	2397	17418
121	2416	17391
122	2434	17358
123	2452	17325
124	2470	17290
125	2487	17257
126	2506	17231
127	2524	17200
128	2543	17172
129	2561	17140
130	2579	17113
131	2598	17085
132	2615	17053
133	2634	17029
134	2653	16999
135	2671	16973
136	2690	16946
137	2708	16915
138	2725	16885
139	2732	16782
140	2749	16752
141	2767	16720
142	2785	16692
143	2803	16667
144	2821	16638
145	2839	16611
146	2858	16586
147	2875	16555
148	2894	16531
149	2900	16435
150	2918	16407
151	2936	16383
152	2955	16361
153	2973	16334
154	2991	16310
155	3009	16284
156	3027	16258
157	3045	16231
158	3063	16202
159	3081	16175
160	3098	16146
161	3115	16117
162	3133	16090
163	3151	16064
164	3169	16038
165	3186	16009
166	3203	15979
167	3220	15949
168	3237	15919
169	3255	15892
170	3260	15808
171	3278	15780
172	3294	15751
173	3312	15724
174	3330	15701
175	3348	15676
176	3365	15648
177	3382	15622
178	3399	15593
179	3417	15567
180	3434	15541
181	3451	15513
182	3468	15485
