Datetime,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption,Month
2017-12-01 00:00:00,19.07,55.77,0.086,0.048,0.1,27680.60837,12
2017-12-01 00:10:00,18.99,56.7,0.08,0.066,0.093,27011.40684,12
2017-12-01 00:20:00,18.88,58.11,0.078,0.07,0.104,26445.62738,12
2017-12-01 00:30:00,18.78,58.98,0.08,0.04,0.1,25885.93156,12
2017-12-01 00:40:00,18.77,59.98,0.078,0.044,0.093,25277.56654,12
2017-12-01 00:50:00,18.65,60.51,0.08,0.029,0.093,24876.04563,12
2017-12-01 01:00:00,18.71,60.94,0.078,0.073,0.141,24419.77186,12
2017-12-01 01:10:00,18.83,61.58,0.077,0.051,0.082,24225.09506,12
2017-12-01 01:20:00,18.7,63.71,0.081,0.066,0.13,23641.06464,12
2017-12-01 01:30:00,18.53,65.12,0.077,0.07,0.145,23269.96198,12
2017-12-01 01:40:00,18.43,66.19,0.078,0.026,0.159,22917.11027,12
2017-12-01 01:50:00,18.31,66.72,0.078,0.044,0.167,22564.25856,12
2017-12-01 02:00:00,18.38,66.38,0.08,0.059,0.145,22406.08365,12
2017-12-01 02:10:00,18.41,65.31,0.078,0.044,0.185,22369.58175,12
2017-12-01 02:20:00,18.41,64.68,0.081,0.051,0.145,22247.90875,12
2017-12-01 02:30:00,18.27,64.84,0.078,0.048,0.137,22028.89734,12
2017-12-01 02:40:00,18.23,64.52,0.079,0.051,0.119,21882.88973,12
2017-12-01 02:50:00,18.01,65.82,0.083,0.033,0.189,21888.97338,12
2017-12-01 03:00:00,17.83,65.85,0.085,0.022,0.148,21736.88213,12
2017-12-01 03:10:00,17.71,66.45,0.081,0.026,0.122,21742.96578,12
2017-12-01 03:20:00,17.6,68.56,0.079,0.055,0.167,21682.12928,12
2017-12-01 03:30:00,17.41,69.56,0.079,0.033,0.152,21627.37643,12
2017-12-01 03:40:00,17.48,68.66,0.078,0.051,0.208,21542.20532,12
2017-12-01 03:50:00,17.61,66.79,0.079,0.048,0.141,21584.79087,12
2017-12-01 04:00:00,17.85,65.49,0.081,0.051,0.1,21572.62357,12
2017-12-01 04:10:00,18.12,61.45,0.082,0.055,0.156,21499.61977,12
2017-12-01 04:20:00,17.84,64.91,0.078,0.059,0.148,21572.62357,12
2017-12-01 04:30:00,17.7,64.41,0.08,0.062,0.141,21457.03422,12
2017-12-01 04:40:00,17.74,64.18,0.077,0.051,0.122,21420.53232,12
2017-12-01 04:50:00,17.55,65.45,0.076,0.029,0.148,21450.95057,12
2017-12-01 05:00:00,17.5,66.51,0.079,0.044,0.174,21390.11407,12
2017-12-01 05:10:00,17.37,68.52,0.079,0.055,0.152,21292.77567,12
2017-12-01 05:20:00,17.19,73.6,0.078,0.044,0.171,21402.28137,12
2017-12-01 05:30:00,16.77,75.9,0.081,0.044,0.185,21621.29278,12
2017-12-01 05:40:00,16.43,76.5,0.079,0.055,0.126,22180.98859,12
2017-12-01 05:50:00,16.26,77.3,0.082,0.018,0.174,21828.13688,12
2017-12-01 06:00:00,16.14,78.0,0.076,0.059,0.141,21809.88593,12
2017-12-01 06:10:00,15.94,79.6,0.081,0.055,0.133,22156.65399,12
2017-12-01 06:20:00,15.7,79.7,0.077,0.033,0.163,21815.96958,12
